00202+4842TDS1407      3251 00682 1 1991.49 312.4   0.600  0.34                  
00203+5923TDS1408      3665 00893 1 1991.67 111.9   0.730  0.26                  
00205+5745TDS1409      3661 00658 1 1991.60  52.5   0.500  0.12                  
00206-5449TDS1410      8465 00928 1 1991.59 310.3   0.470  0.28                  
00209+6033TDS1411      4015 02295 1 1991.62 310.7   0.460  0.02                  
00209+5759TDS1412      3661 00569 1 1991.55 234.7   0.570  0.04                  
00209-5534TDS1413      8468 01140 1 1991.62 148.1   0.820  0.04                  
00210+5421TDS  12      3653 00758 1 1991.65 287.7    .932  1.80                  
00210-6527TDS1414      8846 00679 1 1991.67  77.6   0.860  0.49                  
00211+6443TDS  13      4023 00820 1 1991.61 291.7   2.525   .48                  
00212+6239TDS1415      4019 02099 1 1991.64 315.8   0.560  0.01                  
00212-2517TDS  14      6416 00877 1 1991.68 306.7   2.340   .52                  
00213+6239TDS  15      4019 02893 1 1991.62 240.1   1.269   .06                  
00214+5445TDS1416      3657 00758 1 1991.71 314.7   0.950  1.25                  
00214-2655TDS1417      6416 00055 1 1991.66 262.5   0.540  0.16                  
00217-3141TDS1418      6990 00325 1 1991.74 246.4   0.760  0.27                  
00219+8248TDS1419      4615 00636 1 1991.68 207.1   1.950  0.28                  
00219+5403TDS1420      3653 00569 1 1991.61 322.5   0.600  0.16                  
00219-3908TDS1421      7524 00800 1 1991.82   0.8   0.660  0.29                  
00220+4529TDS1422      3247 00290 1 1991.87 245.9   1.250  0.87                  
00221-7937TDS1423      9354 00841 1 1991.63  34.1   0.840  1.68                  
00224+8103TDS1424      4504 01515 1 1991.64  83.6   0.880  0.38                  
00224+2956TDS1425      1737 01394 1 1991.71  90.5   0.560  0.37                  
00228+6356TDS1426      4023 00477 1 1991.56 192.7   0.870  0.46                  
00230+6326TDS1427      4019 00996 1 1991.64 253.4   0.520  0.02                  
00230+6213TDS1428      4019 03315 1 1991.57 155.2   1.070  0.16                  
00230+2735TDS  16      1737 02221 1 1991.49 115.8   1.497  1.34                  
00232+5145TDS1429      3260 00691 1 1991.56 224.4   1.020  0.35                  
00233+6016TDS1430      4015 02385 1 1991.58  11.6   2.250  0.93                  
00233+5756TDS  17      3661 00972 1 1991.61 152.2   1.564   .98                  
00233+5132TDS1431      3260 00709 1 1991.54 110.2   0.450  0.16                  
00234+5719TDS1432      3661 00480 1 1991.64 324.5   0.470  0.18                  
00234+5610TDS1433      3657 00619 1 1991.66 277.4   1.170  0.65                  
00234+4932TDS1434      3256 00870 1 1991.58 195.2   0.410  0.11                  
00235+5257TDS1435      3653 01293 1 1991.53 115.8   1.120  0.34                  
00237+5302TDS1436      3653 00831 1 1991.54 259.3   0.650  0.22                  
00237+4455TDS1437      2795 02363 1 1991.87   2.7   1.410  0.27                  
00239+5322TDS1438      3653 00570 1 1991.52  17.0   0.780  0.52                  
00241+5302TDS1439      3653 01791 1 1991.57 183.5   0.800  0.44                  
00241+5002TDS1440      3256 00517 1 1991.55 261.2   1.760  0.95                  
00241+2652TDS1441      1734 00829 1 1991.46 155.7   0.640  0.53                  
00241+2430TDS1442      1731 00371 1 1991.51 312.8   0.510  0.18                  
00244+5802TDS1443      3661 00900 1 1991.56 184.6   2.640  0.70                  
00244+4342TDS1444      2795 00643 1 1991.83 348.9   0.750  0.19                  
00245+8052TDS1445      4504 00997 1 1991.68  38.4   2.230  0.07                  
00245+5000TDS1446      3256 00938 1 1991.59  36.1   0.450  0.01                  
00246+5600TDS1447      3657 00209 1 1991.69  87.4   0.580  0.61                  
00246-5856TDS1448      8471 01286 1 1991.67 180.9   0.580  0.16                  
00247+6225TDS  18      4019 03575 1 1991.57  85.8   1.215   .38                  
00249+8337TDS1449      4615 01839 1 1991.74 219.6   0.420  0.05                  
00250+6212TDS1450      4019 03333 1 1991.58 280.7   0.670  0.14                  
00250+4558TDS1451      3248 01754 1 1991.83  12.6   0.690  0.71                  
00251+5559TDS1452      3657 00365 1 1991.70 169.3   0.730  0.50                  
00251+0503TDS1453      0009 01141 1 1991.58  65.6   0.910  0.23                  
00252+4503TDS1454      3248 00832 1 1991.81 237.8   1.210  0.90                  
00253-7000TDS1455      9137 01722 1 1991.69 126.2   0.540  0.05                  
00254+6953TDS1456      4299 00640 1 1991.70  94.1   0.780  0.59                  
00254+6026TDS1457      4015 01778 1 1991.63 113.9   2.420  2.17                  
00255+5858TDS1458      3665 01220 1 1991.61 131.0   0.810  0.30                  
00257+7100TDS1459      4299 00739 1 1991.63 231.7   0.870  0.07                  
00260-6227TDS1460      8841 00015 1 1991.65 152.3   0.820  0.48                  
00261+5422TDS1461      3653 00343 1 1991.64 106.7   0.630  0.24                  
00261+4520TDS1462      3248 00609 1 1991.77 196.8   0.620  0.14                  
00262-5011TDS1463      8029 00982 1 1991.60 227.5   2.760  1.06                  
00268-3707TDS1464      6997 00030 1 1991.80 314.6   0.790  0.06                  
00269+6104TDS1465      4015 01783 1 1991.68 128.6   2.350  0.63                  
00269+2356TDS1466      1731 01421 1 1991.63  47.7   0.490  0.36                  
00271+1852TDS  19      1183 00992 1 1991.61 139.1    .842   .22                  
00272+5435TDS1467      3658 00995 1 1991.62 129.3   0.430  0.17                  
00272+5110TDS1468      3260 00791 1 1991.52 283.7   0.830  0.71                  
00272+0743TDS1469      0596 01041 1 1991.47 232.0   0.490  0.11                  
00274+5130TDS1470      3260 00803 1 1991.44 307.8   1.660  1.98                  
00275-1238TDS1471      5268 00819 1 1991.64 350.9   2.380  0.30                  
00276+5747TDS1472      3662 01844 1 1991.65 299.9   0.450  0.16                  
00279+6217TDS1473      4019 03081 1 1991.60 215.6   1.940  1.01                  
00280+5934TDS1474      3666 00595 1 1991.58 357.4   0.820  0.49                  
00280+5658TDS1475      3662 00808 1 1991.75 159.6   1.770  0.37                  
00282+6228TDS1476      4019 03416 1 1991.59  47.4   1.640  1.30                  
00282-4252TDS1477      7531 00068 1 1991.68 288.3   0.650  0.34                  
00282-4943TDS1478      8026 00637 1 1991.66 251.1   0.630  0.36                  
00283-4319TDS1479      7531 00494 1 1991.63 179.9   0.580  0.23                  
00284+4030TDS1480      2787 00752 1 1991.69 135.3   0.690  0.58                  
